,customer_id,sales,units,orders,unique_products_bought,unique_payments_used,unique_categories_bought,aov,aur,upt,category_a_sales,category_b_sales,category_c_sales,category_d_sales,category_e_sales,category_a_units,category_b_units,category_c_units,category_d_units,category_e_units,payment_cash,payment_credit,payment_debit,payment_gc,payment_others,email_subscribed,omni_shopper,age,hh_income,cluster,embedding_x,embedding_y
0,1,2395,11,5,5,3,3,479.0,217.72727272727272,2.2,0.4801670146137787,0.0,0.4509394572025052,0.0,0.068893528183716,0.3636363636363636,0.0,0.3636363636363636,0.0,0.2727272727272727,0.0,0.5198329853862212,0.1670146137787056,0.313152400835073,0.0,0,0,46,640000,2,6.962624,10.498133
1,2,4815,15,7,6,4,3,687.8571428571429,321.0,2.142857142857143,0.7217030114226376,0.0,0.2471443406022845,0.0,0.0311526479750778,0.4666666666666667,0.0,0.3333333333333333,0.0,0.2,0.0311526479750778,0.7040498442367601,0.1869158878504672,0.0778816199376947,0.0,1,1,32,890000,5,-3.620807,8.016681
2,3,4285,21,10,9,4,5,428.5,204.04761904761904,2.1,0.2403733955659276,0.1750291715285881,0.3092182030338389,0.2100350058343057,0.0653442240373395,0.1904761904761904,0.238095238095238,0.238095238095238,0.0952380952380952,0.238095238095238,0.0,0.2637106184364061,0.3092182030338389,0.147024504084014,0.2800466744457409,0,0,45,772000,2,6.424653,10.907395
3,4,12000,44,21,15,4,5,571.4285714285714,272.72727272727275,2.095238095238096,0.575,0.0675,0.1583333333333333,0.1708333333333333,0.0283333333333333,0.4090909090909091,0.1590909090909091,0.1818181818181818,0.1136363636363636,0.1363636363636363,0.0666666666666666,0.345,0.37,0.2183333333333333,0.0,1,0,46,303000,0,3.0774853,-1.827916
4,5,1700,8,3,3,2,2,566.6666666666666,212.5,2.6666666666666665,0.0,0.2647058823529412,0.7352941176470589,0.0,0.0,0.0,0.375,0.625,0.0,0.0,0.0,0.0,0.7352941176470589,0.2647058823529412,0.0,0,0,38,412000,2,7.1341934,9.401731
5,6,6465,21,10,9,3,4,646.5,307.85714285714283,2.1,0.5545243619489559,0.0,0.0773395204949729,0.3402938901778809,0.0278422273781902,0.5714285714285714,0.0,0.0952380952380952,0.1904761904761904,0.1428571428571428,0.2815158546017015,0.5916473317865429,0.1268368136117556,0.0,0.0,0,0,26,372000,2,9.201182,9.618422
6,7,12085,42,20,15,3,5,604.25,287.73809523809524,2.1,0.4443525031030202,0.0359950351675631,0.3947041787339677,0.1117087298303682,0.0132395531650806,0.3333333333333333,0.0714285714285714,0.4523809523809524,0.0714285714285714,0.0714285714285714,0.0,0.5134464211832851,0.4517997517583781,0.0,0.0347538270583367,1,0,42,638000,0,3.107586,-2.1222818
7,8,5365,18,9,7,3,4,596.1111111111111,298.05555555555554,2.0,0.3821062441752097,0.1118359739049394,0.0,0.4846225535880708,0.02143522833178,0.2777777777777778,0.2777777777777778,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2693383038210624,0.5144454799627214,0.2162162162162162,0.0,1,0,36,240000,1,1.3943535,8.177399
8,9,5310,21,10,10,2,4,531.0,252.8571428571429,2.1,0.0753295668549905,0.243879472693032,0.2005649717514124,0.480225988700565,0.0,0.0476190476190476,0.4761904761904761,0.1904761904761904,0.2857142857142857,0.0,0.0,0.8248587570621468,0.1751412429378531,0.0,0.0,1,1,58,724000,5,-4.3286805,9.040959
9,10,1775,7,3,3,2,2,591.6666666666666,253.57142857142856,2.333333333333333,0.2816901408450704,0.0,0.7183098591549296,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.5352112676056338,0.4647887323943662,0.0,0.0,0,0,63,906000,2,7.652486,10.087386
10,11,5640,23,10,7,3,5,564.0,245.2173913043478,2.3,0.25,0.0531914893617021,0.2482269503546099,0.3900709219858156,0.0585106382978723,0.217391304347826,0.0869565217391304,0.2608695652173913,0.1739130434782608,0.2608695652173913,0.0,0.4432624113475177,0.3652482269503546,0.1914893617021276,0.0,1,0,64,50000,1,2.3240767,8.554634
11,12,450,6,3,3,3,2,150.0,75.0,2.0,0.0,0.5333333333333333,0.0,0.0,0.4666666666666667,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.1333333333333333,0.3333333333333333,0.5333333333333333,0.0,0,0,29,944000,1,4.757696,10.8380575
12,13,17635,52,20,15,5,4,881.75,339.13461538461536,2.6,0.4227388715622342,0.0652112276722427,0.1774879500992345,0.3345619506662886,0.0,0.3653846153846153,0.173076923076923,0.2307692307692307,0.2307692307692307,0.0,0.068046498440601,0.4539268500141764,0.2908987808335696,0.0935639353558264,0.0935639353558264,1,0,35,135000,0,2.9464228,-3.0012877
